,LizAtlas.L_BF_ch1-3,LizAtlas.L_BF_ch4,LizAtlas.L_CMA,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL,L_Amy_BL_Complex,R_Amy_BL_Complex,L_Amy_CEN_Complex,R_Amy_CEN_Complex,LizAtlas.R_dPut,LizAtlas.L_dPut,LizAtlas.L_vPut,LizAtlas.R_vPut
LizAtlas.R_STN,1.078250609474155,0.40982157041886774,-0.41910618319815246,-0.12005894090217774,-0.25062484056557,-0.5053052992468077,0.5199079372133765,0.31562575679867555,-0.5649431315363496,2.1655905385340537,1.1216020578396915,1.1965711287943928,1.0782165193077673,-2.2127136078158958,2.1852677856641773,0.2391327916951135,-0.03030094098752971,-1.0527896466293154,-0.7168118159946476,-1.0673598135787659,,2.5191951878932097,-1.1577923943331554,-0.2852014475614129,0.11737406590409556,1.3301429280322998,-0.032379968270756704,0.3155907414386122,0.2687650904082949,0.6914024590141113
LizAtlas.R_ThalVL,-0.4993037792097178,-2.5526061469236847,1.9590587630758274,1.7243287268704481,1.6390951384888262,1.307620316536134,2.7063954898695566,1.358181597239812,2.6139671713370056,1.9614880920202833,6.657297953155661,-1.5029380819438947,-0.7431863753033604,2.3502466892424687,1.1520982620266784,1.2500281846103185,2.724316977774497,3.572794854127808,2.9566993787079667,2.120041331855367,2.5191951878932093,,-1.2328993400167372,-1.7242357406377933,-2.288733950803172,-2.2068036741170265,1.9678231318096828,1.398752951555865,0.9203266346690294,1.6733899231479323
L_Amy_BL_Complex,2.939539936620776,6.320473495325244,5.030882233953998,-0.41471632225153027,3.418124948162929,1.6374897328217621,0.32569782464234737,1.2018437714539438,1.9196170401144839,-0.9253049845316819,-1.1292790843672342,3.097764315429276,5.483246956871987,2.3400872440176173,1.0009945777289107,2.9014433414294323,1.5179597474555127,-0.16307430097049352,0.9791526739703404,2.393405202183605,-1.157792394333155,-1.2328993400167376,,9.19368110766596,12.583769221667254,8.052947529826646,1.2563868046180169,1.198402958099434,3.0371050150451335,1.608260919644539
R_Amy_BL_Complex,2.6355887328910583,5.454764685855125,3.593684429610006,-1.4257921152725217,3.2407470673695467,2.1813304830878586,0.9922926544925501,1.639304317645381,2.166347536238231,-0.8726502195430477,-2.5492250425290544,6.704027489223951,6.123987290802161,2.169517685050651,0.8534452700132847,3.3474319426923045,1.2772342215766814,0.7181594318903521,1.412865611557073,3.11421771410777,-0.2852014475614128,-1.7242357406377937,9.19368110766596,,9.617321337432424,10.402556917132468,1.364969368851847,0.9035026882906205,2.1382798667719496,2.7857722072713584
L_Amy_CEN_Complex,5.004467301972198,13.450856615903295,4.998212874662733,1.7200864671353877,7.437154956793803,2.597935960051747,0.17611503080005422,0.3960081088396557,4.568922719413424,-0.5440087435866666,-2.389636796823062,5.276359365860464,8.107560872460027,2.7581128896362928,2.630710033696378,6.677441753683213,3.714033812044928,-0.6230781874272183,-0.7354710324005238,5.0880425855377345,0.11737406590409488,-2.2887339508031728,12.583769221667252,9.617321337432424,,10.066385114808336,1.971695942270877,2.7333891842430096,3.783883278970858,4.623248472318927
R_Amy_CEN_Complex,5.015612573468844,8.440300992841161,4.253402062428435,0.7046263921346974,5.215028590931396,1.8753762637315508,0.019154534052073843,-0.36753259693518453,4.628743438795008,-0.9584191199519939,-1.3059724710766112,8.094692563186369,10.565826053169515,1.8409619634537129,3.3797081986315565,4.3233106874730565,2.5932480172546737,-0.005869922318642537,0.12587842538712454,3.9736529845449837,1.3301429280322998,-2.2068036741170265,8.052947529826644,10.402556917132463,10.066385114808336,,1.859274045993324,1.4929991060474432,4.244284356480133,3.729093303517231
LizAtlas.R_dPut,-0.1728193866641322,4.74229746691864,3.5015779100924918,0.5129840583149858,3.2855004554071923,2.9892241424146504,1.7992887887237048,1.847299422086169,4.759436799874691,1.3989183847735134,1.6987641498581985,-1.770903876115114,3.21628414405185,2.964120296742736,0.011128817341014957,2.5846934224780638,2.4794629828586108,2.668694157790178,4.530720319448934,5.316885732803078,-0.03237996827075645,1.9678231318096828,1.2563868046180164,1.364969368851847,1.971695942270877,1.859274045993324,,14.371254163821105,11.328336707338853,15.371063427749043
LizAtlas.L_dPut,-0.10991160718549142,4.6931880978568286,4.0234638359599435,0.9518872694663285,4.56635201325858,2.3222781566015787,3.709755584622418,3.5314141699538486,5.862856687219235,0.45446901440101783,3.3430016446899584,-1.0799797001369797,2.8781700211585908,2.3564753641102025,0.7429944060326382,2.4529679701867546,1.456915655624016,2.132997471193827,2.8859863080923556,4.5750469865581485,0.3155907414386125,1.398752951555865,1.198402958099434,0.9035026882906205,2.733389184243009,1.4929991060474432,14.371254163821112,,13.689213979414165,12.833519949887249
LizAtlas.L_vPut,1.2059708650165213,6.42597888994433,4.757832177905049,2.606049812373531,2.9286776775700356,10.59096892594585,3.4738190116625565,2.2423194982753687,3.802496807687808,-0.1964832528647022,3.9828407102694516,0.3773297304749015,6.67388091876301,3.8995811165444594,1.5878630209584415,2.4180896337961575,7.06288471926265,1.8668746325112628,1.6800476809350036,3.6098408521748997,0.26876509040829477,0.9203266346690291,3.0371050150451335,2.1382798667719496,3.783883278970858,4.244284356480133,11.328336707338847,13.689213979414163,,18.062772887255278
LizAtlas.R_vPut,1.4544776700047108,7.794261895022164,5.391591772645505,1.1442623387065414,2.363173580780502,12.478944363022332,1.5613099148651717,0.5146134285143181,4.22615288880624,-0.0656952656035719,1.2408538969472473,0.5425510209374537,6.612073466720136,4.583530676938555,3.29123696429384,2.9631879897383917,8.231611761137222,3.2212093022593655,3.3531087189362268,3.811910081183005,0.6914024590141113,1.6733899231479317,1.608260919644539,2.785772207271358,4.623248472318928,3.7290933035172307,15.371063427749046,12.833519949887252,18.062772887255278,
