,LizAtlas.L_BF_ch1-3,LizAtlas.L_BF_ch4,LizAtlas.L_CMA,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL,L_Amy_BL_Complex,R_Amy_BL_Complex,L_Amy_CEN_Complex,R_Amy_CEN_Complex,LizAtlas.R_dPut,LizAtlas.L_dPut,LizAtlas.L_vPut,LizAtlas.R_vPut
LizAtlas.R_STN,0.38523512697537643,0.7701526924681292,0.7665650871616976,0.9420837787012903,0.8656947592788843,0.712436072019533,0.7064266903692692,0.8269817705902929,0.6817877496785149,0.07923247075791491,0.3684735464094988,0.33831463256862926,0.38523512697537643,0.0740122928160897,0.07740011407783301,0.8730165729911216,0.9920133551037298,0.3977858242404494,0.5811860927900804,0.3903900348311303,,0.04118349932125728,0.35666574512100735,0.8457119927005443,0.9420837787012903,0.28598077176444775,0.9920133551037298,0.8269817705902929,0.855016851445649,0.5967274413492369
LizAtlas.R_ThalVL,0.7153445057431239,0.038756914594566066,0.1154417189809464,0.16721121377537881,0.18570746267407348,0.2947228194669684,0.029279938197221366,0.27375168869489197,0.035133453838641915,0.11537901190211461,3.1342264937346984e-06,0.22579584718382448,0.5700481166982767,0.0578270491073434,0.3570580206770964,0.3166454602112253,0.028230336506206457,0.004530634861924737,0.01747503377593288,0.08530468218090502,0.04118349932125728,,0.32340278475297674,0.16721121377537881,0.06419278570993166,0.07460398409056725,0.11440487924876902,0.25990439451726843,0.4649568015737356,0.17907651271465502
L_Amy_BL_Complex,0.018107158231698166,6.850362294556191e-06,0.00015434503271206565,0.7681540043612675,0.006492520405597381,0.18570746267407348,0.8228259164665104,0.33766668719962106,0.12340269993634394,0.4643072572310968,0.36528280901737487,0.013093847259253161,5.580643436433617e-05,0.058551996688062574,0.4267672260362135,0.01961659073373128,0.22087289508774302,0.9185491862869491,0.43786148691476157,0.053610872391285314,0.35666574512100735,0.32340278475297674,,1.2108288121904336e-08,2.779217095821875e-11,1.2884153766640854e-07,0.3154653884730196,0.33831463256862926,0.014912519829150067,0.19454505305451703
R_Amy_BL_Complex,0.033786443310421854,5.930594639246152e-05,0.0043594017701411615,0.25243477341363557,0.009543660371887076,0.07768940395950759,0.4309046002161489,0.18570746267407348,0.07923247075791491,0.48959257950431234,0.038851697178791195,3.0066089530405423e-06,1.0889151439824689e-05,0.07923247075791491,0.5011509472250981,0.007604662191147338,0.30797147357437,0.5811860927900804,0.2568264940236139,0.01265446039877501,0.8457119927005443,0.16721121377537881,1.2108288121904336e-08,,5.060642240563179e-09,1.1438187559760475e-09,0.2715493753964917,0.47463194101484146,0.08337527898572825,0.02497870798454645
L_Amy_CEN_Complex,0.00016160647569847633,7.592365136210618e-12,0.00016234128488942052,0.16786642190420062,5.263348120222514e-07,0.036062273432003224,0.9159339573198024,0.7794249256932708,0.00044719298947978675,0.6939945655379917,0.05378713130626755,8.954934986214284e-05,1.194566364574355e-07,0.02652044972388508,0.033980861345077926,3.0611912653957452e-06,0.0033183272199999204,0.6399742656284334,0.5723352112725663,0.00013445990479812192,0.9420837787012903,0.06419278570993166,2.779217095821875e-11,5.060642240563179e-09,,2.143167842687201e-09,0.11400995941522199,0.027792631848492257,0.002810369865071867,0.00040517381284154027
R_Amy_CEN_Complex,0.0001587989474161092,6.224143179933714e-08,0.0009625618541401743,0.5885511139003995,0.00010050403118891728,0.13196449258531476,0.9963105234087173,0.7975390206333645,0.0004037247445260387,0.445753606575623,0.2947228194669684,1.1955915070499096e-07,8.508268390002942e-10,0.1377644331327998,0.007108343423651151,0.0008294041740800518,0.03625578632756006,0.9989340481520589,0.9396425881566782,0.0018266018010049737,0.28598077176444775,0.07460398409056725,1.2884153766640854e-07,1.1438187559760475e-09,2.143167842687201e-09,,0.13453874773662178,0.2284245167274057,0.0009766844302257385,0.0032166174406641256
LizAtlas.R_dPut,0.9159339573198024,0.000304413619670033,0.005361290997683222,0.7081873708503302,0.008706970989245704,0.016450308366690845,0.14645593068002408,0.13718737359906413,0.0002953606600793986,0.25990439451726843,0.17273265292235324,0.15412147094920337,0.010009583387534203,0.017309437823955883,0.9980858470959366,0.03657878651564814,0.044851642642275494,0.0316275507900985,0.00048693144583509244,8.32409673693629e-05,0.9920133551037298,0.11440487924876902,0.3154653884730196,0.2715493753964917,0.11400995941522199,0.13453874773662178,,2.2443023452071085e-12,2.0977562758758117e-10,6.18812188456199e-13
LizAtlas.L_dPut,0.9459099444792389,0.00034340962656086816,0.001652363908736448,0.44859967922161703,0.00044719298947978675,0.06050504030489995,0.0033284947775136164,0.00500281258862281,2.09832218164299e-05,0.7417988595561041,0.007635370697190556,0.38523512697537643,0.02037499633649915,0.05732276900243541,0.5700481166982767,0.04737917969902394,0.24167522031404973,0.08337527898572825,0.020115774259378143,0.00044719298947978675,0.8269817705902929,0.25990439451726843,0.33831463256862926,0.47463194101484146,0.027792631848492257,0.2284245167274057,2.2443023452071085e-12,,5.824411932729223e-12,1.9059969155545047e-11
LizAtlas.L_vPut,0.33654698892478185,5.297733547994646e-06,0.0002953606600793986,0.03558659819686822,0.018476384615758797,8.460724406485636e-10,0.005671624396147511,0.07009166562211488,0.002698923054775576,0.9038844662526171,0.0017986994762992318,0.792704566289704,3.0611912653957452e-06,0.0021633678800361896,0.19891435403450508,0.05098817253651096,1.3130124493137278e-06,0.13308403792279644,0.17754121957407887,0.004213681471709548,0.855016851445649,0.4649568015737356,0.014912519829150067,0.08337527898572825,0.002810369865071867,0.0009766844302257385,2.0977562758758117e-10,5.824411932729223e-12,,5.765461111228387e-14
LizAtlas.R_vPut,0.2418498882922235,2.3490831807667947e-07,6.917067639664147e-05,0.3591596848603553,0.05676411679797141,3.132752515027061e-11,0.20729701802840733,0.7081873708503302,0.0010055399174150003,0.975001050170917,0.32032726784729126,0.6939945655379917,3.393093288036201e-06,0.0004458133857506297,0.008642983940980163,0.017309437823955883,9.609585248231534e-08,0.009954790562614245,0.0075504898096498815,0.002655260175334381,0.5967274413492369,0.17907651271465502,0.19454505305451703,0.02497870798454645,0.00040517381284154027,0.0032166174406641256,6.18812188456199e-13,1.9059969155545047e-11,5.765461111228387e-14,
